fecha,casos,I,R,S
2020-03-08,3,3.0,0.0,9.018642e6
2020-03-09,2,5.0,0.0,9.01864e6
2020-03-10,3,8.0,0.0,9.018637e6
2020-03-11,16,24.0,0.0,9.018621e6
2020-03-12,23,47.0,0.0,9.018598e6
2020-03-13,26,73.0,0.0,9.018572e6
2020-03-14,23,96.0,0.0,9.018549e6
2020-03-15,10,106.0,0.0,9.018539e6
2020-03-16,28,134.0,0.0,9.018511e6
2020-03-17,35,169.0,0.0,9.018476e6
2020-03-18,31,197.0,3.0,9.018445e6
2020-03-19,64,259.0,5.0,9.018381e6
2020-03-20,36,292.0,8.0,9.018345e6
2020-03-21,22,298.0,24.0,9.018323e6
2020-03-22,16,291.0,47.0,9.018307e6
2020-03-23,46,311.0,73.0,9.018261e6
2020-03-24,62,350.0,96.0,9.018199e6
2020-03-25,46,386.0,106.0,9.018153e6
2020-03-26,71,429.0,134.0,9.018082e6
2020-03-27,63,457.0,169.0,9.018019e6
2020-03-28,62,488.0,200.0,9.017957e6
2020-03-29,39,463.0,264.0,9.017918e6
2020-03-30,82,509.0,300.0,9.017836e6
2020-03-31,58,545.0,322.0,9.017778e6
2020-04-01,70,599.0,338.0,9.017708e6
2020-04-02,85,638.0,384.0,9.017623e6
2020-04-03,99,675.0,446.0,9.017524e6
2020-04-04,64,693.0,492.0,9.01746e6
2020-04-05,59,681.0,563.0,9.017401e6
2020-04-06,141,759.0,626.0,9.01726e6
2020-04-07,144,841.0,688.0,9.017116e6
2020-04-08,140,942.0,727.0,9.016976e6
2020-04-09,150,1010.0,809.0,9.016826e6
2020-04-10,174,1126.0,867.0,9.016652e6
2020-04-11,127,1183.0,937.0,9.016525e6
2020-04-12,125,1223.0,1022.0,9.0164e6
2020-04-13,293,1417.0,1121.0,9.016107e6
2020-04-14,267,1620.0,1185.0,9.01584e6
2020-04-15,256,1817.0,1244.0,9.015584e6
2020-04-16,269,1945.0,1385.0,9.015315e6
2020-04-17,354,2155.0,1529.0,9.014961e6
2020-04-18,213,2228.0,1669.0,9.014748e6
2020-04-19,215,2293.0,1819.0,9.014533e6
2020-04-20,506,2625.0,1993.0,9.014027e6
2020-04-21,485,2983.0,2120.0,9.013542e6
2020-04-22,466,3324.0,2245.0,9.013076e6
2020-04-23,418,3449.0,2538.0,9.012658e6
2020-04-24,571,3753.0,2805.0,9.012087e6
2020-04-25,312,3809.0,3061.0,9.011775e6
2020-04-26,283,3823.0,3330.0,9.011492e6
